,Год,Цена,Район,Ковид,Санкции,Ключевая ставка ЦБ РФ (%),ИПЦ (% к декабрю предыдущего года),Доллар
374,2002,24648.33759590793,122,0,0,23.0,115.1,31.7844
375,2002,24433.323520753605,0,0,0,23.0,115.1,31.7844
376,2002,23433.088650479956,41,0,0,23.0,115.1,31.7844
377,2002,25318.06615776081,123,0,0,23.0,115.1,31.7844
378,2002,29977.846401718587,61,0,0,23.0,115.1,31.7844
379,2002,34543.24873762214,43,0,0,23.0,115.1,31.7844
380,2002,23117.54741422261,99,0,0,23.0,115.1,31.7844
381,2003,28008.667235009947,99,0,0,14.0,112.0,29.4545
382,2003,32119.04531838825,100,0,0,14.0,112.0,29.4545
383,2003,32812.49999999999,61,0,0,14.0,112.0,29.4545
384,2003,28408.35701369155,87,0,0,14.0,112.0,29.4545
385,2003,29885.76091391269,126,0,0,14.0,112.0,29.4545
386,2003,28454.361196533406,125,0,0,14.0,112.0,29.4545
387,2003,28625.392464678178,68,0,0,14.0,112.0,29.4545
388,2003,27266.365202411715,67,0,0,14.0,112.0,29.4545
389,2003,33428.178963893246,86,0,0,14.0,112.0,29.4545
390,2003,48964.995529881024,23,0,0,14.0,112.0,29.4545
391,2003,33184.77993607081,15,0,0,14.0,112.0,29.4545
392,2003,28851.001260327685,36,0,0,14.0,112.0,29.4545
393,2003,25358.735023683483,27,0,0,14.0,112.0,29.4545
394,2003,29345.12620837809,14,0,0,14.0,112.0,29.4545
395,2003,24977.31239092496,46,0,0,14.0,112.0,29.4545
396,2003,53925.45598731165,109,0,0,14.0,112.0,29.4545
397,2003,38013.84816917223,84,0,0,14.0,112.0,29.4545
398,2003,27078.605322880132,32,0,0,14.0,112.0,29.4545
399,2003,31867.346938775503,24,0,0,14.0,112.0,29.4545
400,2003,29230.44217687075,38,0,0,14.0,112.0,29.4545
401,2003,27307.69230769231,45,0,0,14.0,112.0,29.4545
402,2003,32336.11522412169,82,0,0,14.0,112.0,29.4545
403,2003,45632.904740216516,43,0,0,14.0,112.0,29.4545
404,2003,29050.606729178162,60,0,0,14.0,112.0,29.4545
405,2003,45074.455899198176,85,0,0,14.0,112.0,29.4545
406,2003,40928.15208275091,5,0,0,14.0,112.0,29.4545
407,2003,37481.10831234257,111,0,0,14.0,112.0,29.4545
408,2003,42696.025778732546,83,0,0,14.0,112.0,29.4545
409,2003,29805.57087699945,6,0,0,14.0,112.0,29.4545
410,2003,30887.755102040817,110,0,0,14.0,112.0,29.4545
411,2003,34343.11224489796,108,0,0,14.0,112.0,29.4545
412,2003,30061.761546723956,42,0,0,14.0,112.0,29.4545
413,2003,72297.83037475345,47,0,0,14.0,112.0,29.4545
414,2003,26523.07692307693,80,0,0,14.0,112.0,29.4545
415,2003,55749.607535321826,114,0,0,14.0,112.0,29.4545
416,2003,27558.910162002947,52,0,0,14.0,112.0,29.4545
417,2003,28592.68707482993,30,0,0,14.0,112.0,29.4545
418,2003,34451.73097453104,105,0,0,14.0,112.0,29.4545
419,2003,30181.086519114688,79,0,0,14.0,112.0,29.4545
420,2003,26305.30091669988,78,0,0,14.0,112.0,29.4545
